seed,backbone,classifier,aggregation,threshold_policy,selected_threshold,speaker_recall,speaker_specificity,speaker_precision,speaker_f1,speaker_auc,pass_target_zone,n_folds,n_speakers,selected_threshold_std,selected_threshold_min,selected_threshold_max,calibration_statuses
44,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.982,0.2619047619047619,0.9345794392523364,0.7586206896551724,0.3893805309734513,0.5759902091677792,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.4642857142857143,0.7383177570093458,0.582089552238806,0.5165562913907285,0.5939029817534491,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,max_score,constrained_spec_ge_0.50,0.982,0.2619047619047619,0.8598130841121495,0.5945945945945946,0.36363636363636365,0.5609701824655096,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,max_score,default_0.5,0.5,0.4642857142857143,0.5794392523364486,0.4642857142857143,0.4642857142857143,0.5609701824655096,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.982,0.21428571428571427,0.9906542056074766,0.9473684210526315,0.34951456310679613,0.6410769915442812,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.44047619047619047,0.8504672897196262,0.6981132075471698,0.5401459854014599,0.6410769915442812,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,constrained_spec_ge_0.50,0.982,0.21428571428571427,0.9719626168224299,0.8571428571428571,0.34285714285714286,0.618380062305296,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,default_0.5,0.5,0.44047619047619047,0.7476635514018691,0.578125,0.5,0.618380062305296,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,constrained_spec_ge_0.50,0.982,0.21428571428571427,0.9906542056074766,0.9473684210526315,0.34951456310679613,0.6399643969737427,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,default_0.5,0.5,0.44047619047619047,0.8504672897196262,0.6981132075471698,0.5401459854014599,0.6399643969737427,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,constrained_spec_ge_0.50,0.982,0.2619047619047619,0.9345794392523364,0.7586206896551724,0.3893805309734513,0.6036938139741879,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
44,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,default_0.5,0.5,0.4642857142857143,0.6728971962616822,0.527027027027027,0.4936708860759494,0.6036938139741879,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.982,0.2857142857142857,0.9626168224299065,0.8571428571428571,0.42857142857142855,0.6070315976858032,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5119047619047619,0.8037383177570093,0.671875,0.581081081081081,0.6360146862483311,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,max_score,constrained_spec_ge_0.50,0.982,0.2857142857142857,0.9065420560747663,0.7058823529411765,0.4067796610169492,0.5776591010235871,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,max_score,default_0.5,0.5,0.5119047619047619,0.5794392523364486,0.48863636363636365,0.5,0.5776591010235871,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.982,0.25,0.9906542056074766,0.9545454545454546,0.39622641509433965,0.6645527369826437,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.47619047619047616,0.9158878504672897,0.8163265306122449,0.6015037593984962,0.6645527369826437,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,constrained_spec_ge_0.50,0.982,0.25,0.9719626168224299,0.875,0.3888888888888889,0.6402981753449044,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,default_0.5,0.5,0.47619047619047616,0.8317757009345794,0.6896551724137931,0.5633802816901409,0.6402981753449044,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,constrained_spec_ge_0.50,0.982,0.25,0.9906542056074766,0.9545454545454546,0.39622641509433965,0.6626613262127282,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,default_0.5,0.5,0.47619047619047616,0.9065420560747663,0.8,0.5970149253731343,0.6626613262127282,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,constrained_spec_ge_0.50,0.982,0.2857142857142857,0.9532710280373832,0.8275862068965517,0.4247787610619469,0.6240542946150424,no,5,191,0.004472135954999583,0.98,0.99,training_only_in_sample_platt
45,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,default_0.5,0.5,0.5119047619047619,0.719626168224299,0.589041095890411,0.5477707006369427,0.6240542946150424,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.9800000000000001,0.25,0.9439252336448598,0.7777777777777778,0.3783783783783784,0.5572429906542056,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.47619047619047616,0.7102803738317757,0.5633802816901409,0.5161290322580645,0.5961838006230531,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,max_score,constrained_spec_ge_0.50,0.9800000000000001,0.25,0.8317757009345794,0.5384615384615384,0.34146341463414637,0.5307076101468625,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,max_score,default_0.5,0.5,0.47619047619047616,0.5607476635514018,0.45977011494252873,0.4678362573099415,0.5307076101468625,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.9800000000000001,0.19047619047619047,0.9719626168224299,0.8421052631578947,0.3106796116504854,0.6135959056519804,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.47619047619047616,0.794392523364486,0.6451612903225806,0.547945205479452,0.6135959056519804,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,constrained_spec_ge_0.50,0.9800000000000001,0.19047619047619047,0.9532710280373832,0.7619047619047619,0.3047619047619048,0.5898976412995105,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,top_2_mean,default_0.5,0.5,0.47619047619047616,0.7289719626168224,0.5797101449275363,0.5228758169934641,0.5898976412995105,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,constrained_spec_ge_0.50,0.9800000000000001,0.19047619047619047,0.9719626168224299,0.8421052631578947,0.3106796116504854,0.6115932354250112,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,top_3_mean,default_0.5,0.5,0.47619047619047616,0.794392523364486,0.6451612903225806,0.547945205479452,0.6115932354250112,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,constrained_spec_ge_0.50,0.9800000000000001,0.25,0.9345794392523364,0.75,0.375,0.5795505117935024,no,5,191,1.2412670766236366e-16,0.98,0.98,training_only_in_sample_platt
46,facebook/hubert-base-ls960,logistic_regression_platt,top_half_mean,default_0.5,0.5,0.47619047619047616,0.6542056074766355,0.5194805194805194,0.4968944099378882,0.5795505117935024,no,5,191,0.0,0.5,0.5,training_only_in_sample_platt
