model,feature,importance
random_forest,rms_min,0.011907528992157187
random_forest,mfcc_3_min,0.011679053189074508
random_forest,mfcc_8_min,0.011639110700001058
random_forest,mfcc_12_std,0.011569295224729418
random_forest,zcr_max,0.0113500653309359
random_forest,mfcc_7_mean,0.011307329111202096
random_forest,mfcc_4_min,0.011306614348332966
random_forest,mfcc_4_mean,0.011135803041139248
random_forest,mfcc_5_max,0.011074645379517013
random_forest,mfcc_11_std,0.011073144926757405
random_forest,mfcc_3_max,0.011058245447444501
random_forest,mfcc_4_max,0.01105812656461191
random_forest,mfcc_2_min,0.010361750945419003
random_forest,mfcc_12_min,0.01025266379998188
random_forest,mfcc_8_mean,0.009723354003111766
random_forest,mfcc_3_mean,0.009423780229271912
random_forest,f0_min,0.006626394507951155
logistic_regression,mfcc_12_std,0.004684883692271069
