analysis_type,seed,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp
fixed_global_sweep,42,0.5,191,0.7023809523809523,0.6635514018691588,0.6210526315789474,0.659217877094972,0.7001001335113485,0.680628272251309,0.6829661771250556,71,36,25,59,"71,36,25,59"
fixed_global_sweep,43,0.5,191,0.6785714285714286,0.7102803738317757,0.6477272727272727,0.6627906976744186,0.7027703604806408,0.6963350785340314,0.6944259012016021,76,31,27,57,"76,31,27,57"
fixed_global_sweep,44,0.5,191,0.6309523809523809,0.6542056074766355,0.5888888888888889,0.6091954022988506,0.6862483311081442,0.643979057591623,0.6425789942145081,70,37,31,53,"70,37,31,53"
fixed_global_sweep,45,0.5,191,0.6547619047619048,0.6915887850467289,0.625,0.6395348837209303,0.7003226524254562,0.675392670157068,0.6731753449043169,74,33,29,55,"74,33,29,55"
fixed_global_sweep,46,0.5,191,0.6309523809523809,0.6822429906542056,0.6091954022988506,0.6198830409356725,0.6582109479305741,0.6596858638743456,0.6565976858032933,73,34,31,53,"73,34,31,53"
fixed_global_sweep,42,0.475,191,0.7261904761904762,0.6355140186915887,0.61,0.6630434782608695,0.7113929684023143,0.675392670157068,0.6808522474410325,68,39,23,61,"68,39,23,61"
fixed_global_sweep,43,0.475,191,0.6785714285714286,0.6542056074766355,0.6063829787234043,0.6404494382022472,0.7017690253671561,0.6649214659685864,0.6663885180240321,70,37,27,57,"70,37,27,57"
fixed_global_sweep,44,0.475,191,0.6309523809523809,0.6355140186915887,0.5760869565217391,0.6022727272727273,0.6862483311081442,0.6335078534031413,0.6332331998219849,68,39,31,53,"68,39,31,53"
fixed_global_sweep,45,0.475,191,0.6547619047619048,0.6728971962616822,0.6111111111111112,0.632183908045977,0.7001557632398755,0.6649214659685864,0.6638295505117935,72,35,29,55,"72,35,29,55"
fixed_global_sweep,46,0.475,191,0.6428571428571429,0.6728971962616822,0.6067415730337079,0.6242774566473989,0.6680017801513128,0.6596858638743456,0.6578771695594126,72,35,30,54,"72,35,30,54"
