analysis_type,seed,fold,threshold,n_speakers,recall,specificity,precision,f1,roc_auc,accuracy,balanced_accuracy,true_negatives,false_positives,false_negatives,true_positives,confusion_matrix_tn_fp_fn_tp,selection_note,train_recall,train_specificity,train_precision,train_f1
fixed_global_sweep,44,1,0.5,38,0.4375,0.5909090909090909,0.4375,0.4375,0.5653409090909092,0.5263157894736842,0.5142045454545454,13,9,9,7,"13,9,9,7",,,,,
fixed_global_sweep,44,2,0.5,37,0.5714285714285714,0.6521739130434783,0.5,0.5333333333333333,0.6909937888198758,0.6216216216216216,0.6118012422360248,15,8,6,8,"15,8,6,8",,,,,
fixed_global_sweep,44,3,0.5,39,0.7857142857142857,0.52,0.4782608695652174,0.5945945945945946,0.7742857142857142,0.6153846153846154,0.6528571428571428,13,12,3,11,"13,12,3,11",,,,,
fixed_global_sweep,44,4,0.5,39,0.7894736842105263,0.65,0.6818181818181818,0.7317073170731707,0.7618421052631579,0.717948717948718,0.7197368421052632,13,7,4,15,"13,7,4,15",,,,,
fixed_global_sweep,44,5,0.5,38,0.5714285714285714,0.9411764705882353,0.9230769230769231,0.7058823529411765,0.6470588235294117,0.7368421052631579,0.7563025210084033,16,1,9,12,"16,1,9,12",,,,,
fixed_global_sweep,45,1,0.5,38,0.7272727272727273,0.6296296296296297,0.4444444444444444,0.5517241379310345,0.7845117845117845,0.6578947368421053,0.6784511784511784,17,10,3,8,"17,10,3,8",,,,,
fixed_global_sweep,45,2,0.5,38,0.7272727272727273,0.875,0.8888888888888888,0.8,0.8167613636363638,0.7894736842105263,0.8011363636363636,14,2,6,16,"14,2,6,16",,,,,
fixed_global_sweep,45,3,0.5,39,0.5,0.72,0.5,0.5,0.5828571428571429,0.6410256410256411,0.61,18,7,7,7,"18,7,7,7",,,,,
fixed_global_sweep,45,4,0.5,38,0.7222222222222222,0.6,0.6190476190476191,0.6666666666666666,0.7416666666666667,0.6578947368421053,0.6611111111111111,12,8,5,13,"12,8,5,13",,,,,
fixed_global_sweep,45,5,0.5,38,0.5789473684210527,0.6842105263157895,0.6470588235294118,0.6111111111111112,0.5858725761772854,0.631578947368421,0.631578947368421,13,6,8,11,"13,6,8,11",,,,,
fixed_global_sweep,46,1,0.5,38,0.5882352941176471,0.9047619047619048,0.8333333333333334,0.6896551724137931,0.6946778711484594,0.7631578947368421,0.7464985994397759,19,2,7,10,"19,2,7,10",,,,,
fixed_global_sweep,46,2,0.5,37,0.8571428571428571,0.391304347826087,0.46153846153846156,0.6,0.7795031055900621,0.5675675675675675,0.6242236024844721,9,14,2,12,"9,14,2,12",,,,,
fixed_global_sweep,46,3,0.5,39,0.6666666666666666,0.5238095238095238,0.5454545454545454,0.6,0.6190476190476191,0.5897435897435898,0.5952380952380952,11,10,6,12,"11,10,6,12",,,,,
fixed_global_sweep,46,4,0.5,38,0.7058823529411765,0.6666666666666666,0.631578947368421,0.6666666666666666,0.6974789915966386,0.6842105263157895,0.6862745098039216,14,7,5,12,"14,7,5,12",,,,,
fixed_global_sweep,46,5,0.5,39,0.3888888888888889,0.9523809523809523,0.875,0.5384615384615384,0.5925925925925926,0.6923076923076923,0.6706349206349206,20,1,11,7,"20,1,11,7",,,,,
fixed_global_sweep,42,1,0.475,38,0.7333333333333333,0.6521739130434783,0.5789473684210527,0.6470588235294118,0.7913043478260869,0.6842105263157895,0.6927536231884057,15,8,4,11,"15,8,4,11",,,,,
fixed_global_sweep,42,2,0.475,38,0.7142857142857143,0.75,0.625,0.6666666666666666,0.6785714285714286,0.7368421052631579,0.7321428571428572,18,6,4,10,"18,6,4,10",,,,,
fixed_global_sweep,42,3,0.475,38,0.8636363636363636,0.5625,0.7307692307692307,0.7916666666666666,0.8522727272727273,0.7368421052631579,0.7130681818181819,9,7,3,19,"9,7,3,19",,,,,
fixed_global_sweep,42,4,0.475,39,0.6875,0.4782608695652174,0.4782608695652174,0.5641025641025641,0.5991847826086958,0.5641025641025641,0.5828804347826086,11,12,5,11,"11,12,5,11",,,,,
fixed_global_sweep,42,5,0.475,38,0.5882352941176471,0.7142857142857143,0.625,0.6060606060606061,0.6204481792717087,0.6578947368421053,0.6512605042016807,15,6,7,10,"15,6,7,10",,,,,
fixed_global_sweep,43,1,0.475,38,0.9,0.42857142857142855,0.36,0.5142857142857142,0.7339285714285715,0.5526315789473685,0.6642857142857143,12,16,1,9,"12,16,1,9",,,,,
fixed_global_sweep,43,2,0.475,38,0.6363636363636364,0.6875,0.7368421052631579,0.6829268292682927,0.6164772727272727,0.6578947368421053,0.6619318181818181,11,5,8,14,"11,5,8,14",,,,,
fixed_global_sweep,43,3,0.475,39,0.631578947368421,0.85,0.8,0.7058823529411765,0.7289473684210526,0.7435897435897436,0.7407894736842104,17,3,7,12,"17,3,7,12",,,,,
fixed_global_sweep,43,4,0.475,38,0.625,0.7272727272727273,0.625,0.625,0.6946022727272726,0.6842105263157895,0.6761363636363636,16,6,6,10,"16,6,6,10",,,,,
fixed_global_sweep,43,5,0.475,38,0.7058823529411765,0.6666666666666666,0.631578947368421,0.6666666666666666,0.7254901960784315,0.6842105263157895,0.6862745098039216,14,7,5,12,"14,7,5,12",,,,,
fixed_global_sweep,44,1,0.475,38,0.4375,0.5454545454545454,0.4117647058823529,0.42424242424242425,0.5653409090909092,0.5,0.4914772727272727,12,10,9,7,"12,10,9,7",,,,,
fixed_global_sweep,44,2,0.475,37,0.5714285714285714,0.6521739130434783,0.5,0.5333333333333333,0.6909937888198758,0.6216216216216216,0.6118012422360248,15,8,6,8,"15,8,6,8",,,,,
fixed_global_sweep,44,3,0.475,39,0.7857142857142857,0.52,0.4782608695652174,0.5945945945945946,0.7742857142857142,0.6153846153846154,0.6528571428571428,13,12,3,11,"13,12,3,11",,,,,
