seed,feature_mode,backbone,classifier,aggregation,threshold_policy,selected_threshold,speaker_recall,speaker_specificity,speaker_precision,speaker_f1,speaker_auc,clip_recall,clip_specificity,clip_precision,clip_f1,clip_auc,pass_target_zone,n_folds,n_speakers,selected_threshold_std,calibration_statuses
42,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,constrained_spec_ge_0.50,0.96,0.21428571428571427,0.9532710280373832,0.782608695652174,0.3364485981308411,0.5680907877169559,0.20212765957446807,0.9566929133858267,0.6333333333333333,0.3064516129032258,0.6820656726419836,no,5,191,0.0,training_only_in_sample_platt
42,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,default_0.5,0.5,0.4523809523809524,0.7850467289719626,0.6229508196721312,0.5241379310344828,0.5961281708945261,0.425531914893617,0.8070866141732284,0.449438202247191,0.4371584699453552,0.6820656726419836,no,5,191,0.0,training_only_in_sample_platt
42,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,mean_score,constrained_spec_ge_0.50,0.96,0.16666666666666666,0.9906542056074766,0.9333333333333333,0.2828282828282828,0.641299510458389,0.20212765957446807,0.9566929133858267,0.6333333333333333,0.3064516129032258,0.6820656726419836,no,5,191,0.0,training_only_in_sample_platt
42,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,mean_score,default_0.5,0.5,0.40476190476190477,0.8785046728971962,0.723404255319149,0.5190839694656488,0.641299510458389,0.425531914893617,0.8070866141732284,0.449438202247191,0.4371584699453552,0.6820656726419836,no,5,191,0.0,training_only_in_sample_platt
42,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.9800000000000001,0.30952380952380953,0.9345794392523364,0.7878787878787878,0.4444444444444444,0.5999109924343569,0.2978723404255319,0.9330708661417323,0.6222222222222222,0.4028776978417266,0.7006617523873346,no,5,191,1.2412670766236366e-16,training_only_in_sample_platt
42,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5,0.7570093457943925,0.6176470588235294,0.5526315789473685,0.625,0.4787234042553192,0.7952755905511811,0.4639175257731959,0.4712041884816754,0.7006617523873346,no,5,191,0.0,training_only_in_sample_platt
42,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.9800000000000001,0.2619047619047619,0.9906542056074766,0.9565217391304348,0.411214953271028,0.6517578994214509,0.2978723404255319,0.9330708661417323,0.6222222222222222,0.4028776978417266,0.7006617523873346,no,5,191,1.2412670766236366e-16,training_only_in_sample_platt
42,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.47619047619047616,0.8878504672897196,0.7692307692307693,0.5882352941176471,0.6517578994214509,0.4787234042553192,0.7952755905511811,0.4639175257731959,0.4712041884816754,0.7006617523873346,no,5,191,0.0,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,constrained_spec_ge_0.50,0.9540000000000001,0.14285714285714285,0.9532710280373832,0.7058823529411765,0.2376237623762376,0.5223631508678237,0.13829787234042554,0.9488188976377953,0.5,0.21666666666666667,0.6970179259507454,no,5,191,0.0054772255750516665,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,default_0.5,0.5,0.47619047619047616,0.7757009345794392,0.625,0.5405405405405406,0.6275033377837117,0.44680851063829785,0.8267716535433071,0.4883720930232558,0.4666666666666667,0.6970179259507454,no,5,191,0.0,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,mean_score,constrained_spec_ge_0.50,0.9540000000000001,0.10714285714285714,1.0,1.0,0.1935483870967742,0.650089007565643,0.13829787234042554,0.9488188976377953,0.5,0.21666666666666667,0.6970179259507454,no,5,191,0.0054772255750516665,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,linear_svm_platt,mean_score,default_0.5,0.5,0.44047619047619047,0.8691588785046729,0.7254901960784313,0.5481481481481482,0.650089007565643,0.44680851063829785,0.8267716535433071,0.4883720930232558,0.4666666666666667,0.6970179259507454,no,5,191,0.0,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.982,0.27380952380952384,0.9439252336448598,0.7931034482758621,0.40707964601769914,0.582777036048064,0.26595744680851063,0.937007874015748,0.6097560975609756,0.37037037037037035,0.711383816384654,no,5,191,0.004472135954999583,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5,0.7663551401869159,0.6268656716417911,0.5562913907284768,0.6298397863818423,0.48936170212765956,0.8031496062992126,0.4791666666666667,0.4842105263157895,0.711383816384654,no,5,191,0.0,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.982,0.21428571428571427,0.9906542056074766,0.9473684210526315,0.34951456310679613,0.6498664886515354,0.26595744680851063,0.937007874015748,0.6097560975609756,0.37037037037037035,0.711383816384654,no,5,191,0.004472135954999583,training_only_in_sample_platt
42,hubert_plus_handcrafted,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,default_0.5,0.5,0.47619047619047616,0.8598130841121495,0.7272727272727273,0.5755395683453237,0.6498664886515354,0.48936170212765956,0.8031496062992126,0.4791666666666667,0.4842105263157895,0.711383816384654,no,5,191,0.0,training_only_in_sample_platt
43,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,constrained_spec_ge_0.50,0.958,0.17857142857142858,0.9813084112149533,0.8823529411764706,0.297029702970297,0.5659212283044059,0.20212765957446807,0.9724409448818898,0.7307692307692307,0.31666666666666665,0.6958870832635282,no,5,191,0.004472135954999583,training_only_in_sample_platt
43,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,majority_vote,default_0.5,0.5,0.4523809523809524,0.7850467289719626,0.6229508196721312,0.5241379310344828,0.6012461059190031,0.44680851063829785,0.8031496062992126,0.45652173913043476,0.45161290322580644,0.6958870832635282,no,5,191,0.0,training_only_in_sample_platt
43,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,mean_score,constrained_spec_ge_0.50,0.958,0.15476190476190477,1.0,1.0,0.26804123711340205,0.6653315531820204,0.20212765957446807,0.9724409448818898,0.7307692307692307,0.31666666666666665,0.6958870832635282,no,5,191,0.004472135954999583,training_only_in_sample_platt
43,hubert_only,facebook/hubert-base-ls960,linear_svm_platt,mean_score,default_0.5,0.5,0.40476190476190477,0.8785046728971962,0.723404255319149,0.5190839694656488,0.6653315531820204,0.44680851063829785,0.8031496062992126,0.45652173913043476,0.45161290322580644,0.6958870832635282,no,5,191,0.0,training_only_in_sample_platt
43,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,constrained_spec_ge_0.50,0.9800000000000001,0.25,0.9439252336448598,0.7777777777777778,0.3783783783783784,0.5619158878504673,0.26595744680851063,0.9291338582677166,0.5813953488372093,0.36496350364963503,0.7122633606969342,no,5,191,1.2412670766236366e-16,training_only_in_sample_platt
43,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,majority_vote,default_0.5,0.5,0.5238095238095238,0.7757009345794392,0.6470588235294118,0.5789473684210527,0.6510903426791277,0.5212765957446809,0.7913385826771654,0.4803921568627451,0.5,0.7122633606969342,no,5,191,0.0,training_only_in_sample_platt
43,hubert_only,facebook/hubert-base-ls960,logistic_regression_platt,mean_score,constrained_spec_ge_0.50,0.9800000000000001,0.21428571428571427,0.9813084112149533,0.9,0.34615384615384615,0.6741210502892746,0.26595744680851063,0.9291338582677166,0.5813953488372093,0.36496350364963503,0.7122633606969342,no,5,191,1.2412670766236366e-16,training_only_in_sample_platt
