model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.5662650602409639,0.2647058823529412,0.45,0.3333333333333333,0.4825396825396826
svm_rbf,0.7349397590361446,0.4,0.2,0.26666666666666666,0.753968253968254
random_forest,0.7108433734939759,0.25,0.1,0.14285714285714285,0.6869047619047619
