candidate_type,candidate_name,feature_mode,classifier,aggregation,threshold_policy,n_seeds,speaker_recall_mean,speaker_recall_std,speaker_specificity_mean,speaker_specificity_std,speaker_f1_mean,speaker_f1_std,threshold_mean,threshold_std,target_zone_pass,decision_ranking
phaseD_ensemble,max_probability_ensemble default_0.5,ensemble,ensemble,speaker_level_component_scores,default_0.5,5,0.6595238095238095,0.031043820977155467,0.6803738317757009,0.022312778292174436,0.6381243803449688,0.023584871049843817,0.5,0.0,no,1
phaseD_aggregation_only,HuBERT logistic majority_vote default_0.5,hubert_only,logistic_regression_platt,majority_vote,default_0.5,5,0.49523809523809526,0.024686239706342525,0.7570093457943925,0.03558772479375658,0.549069070419659,0.0319072871744389,0.5,0.0,no,2
phaseD_fusion,HuBERT+handcrafted logistic_regression_platt majority_vote default_0.5,hubert_plus_handcrafted,logistic_regression_platt,majority_vote,default_0.5,5,0.47619047619047616,0.036692940493862944,0.7682242990654204,0.027566133091126405,0.5374480318581523,0.03732803564678286,0.5,0.0,no,3
phaseC_reference,Phase C HuBERT logistic mean_score default_0.5,hubert_only,logistic_regression_platt,mean_score,default_0.5,5,0.4761904761904761,0.025253813613805277,0.8672897196261682,0.04691551550658365,0.5793070560736557,0.034065242630708474,0.5,0.0,no,4
